From,To,R,X
0,33,0.05933303485378316,0.0001
33,39,0.032398335790975584,0.0001
39,1,0.0001,0.032398335790975584
33,29,0.010772032542651579,0.0001
29,2,0.03882348568630352,0.0001
29,30,0.007114170394566822,0.0001
30,3,0.1390903866873408,0.0001
30,31,0.03741526889244746,0.06778150740626918
31,32,0.09262760548157788,0.0001
32,4,0.11479102123714166,0.0001
39,38,0.033879307476383735,0.05029628851350934
38,5,0.0888298772206972,0.0177132008238736
32,6,0.0001,0.07291070425089166
33,34,0.06822480881504882,0.1716517340919555
34,7,0.13323423786730285,0.0001
29,8,0.0001,0.0001
34,35,0.0001,0.0001
35,36,0.019332717594252532,0.05386404326078347
36,9,0.14503389626096558,0.0010507650551418012
38,37,0.0001,0.0001
37,27,0.05263176459127481,0.0001
27,26,0.09448423459447346,0.0001
26,10,0.053721077307662186,0.0001
31,11,0.0754034704225439,0.0001
29,12,0.0001,0.0001
38,13,0.012111789335664433,0.0001
38,14,0.0001,0.03341062860598912
33,15,0.0001,0.0001
39,16,0.17066109161861798,0.12689655926458526
30,17,0.15151431335877844,0.0001
35,18,0.0001,0.0001
36,19,0.09504432399385816,0.13436232741424975
38,28,0.0001,0.0001
28,20,0.0640398982636769,0.0001
37,21,0.06636342451724572,0.0001
37,22,0.011306334711861139,0.0001
27,23,0.09492699141600586,0.0001
26,24,0.0001,0.0001
28,25,0.0001,0.41222313570649677
